source_id,condition_id,experiment,source_directory_index,rows,columns,public_file
P01_L050_FLANKER_T010,P01_L050,flanker,10,146,16,data/raw/source_trials/p01_l050_flanker_t010.tsv.gz
P01_L050_FLANKER_T011,P01_L050,flanker,11,202,16,data/raw/source_trials/p01_l050_flanker_t011.tsv.gz
P01_L050_FLANKER_T012,P01_L050,flanker,12,179,16,data/raw/source_trials/p01_l050_flanker_t012.tsv.gz
P01_L050_FLANKER_T013,P01_L050,flanker,13,190,16,data/raw/source_trials/p01_l050_flanker_t013.tsv.gz
P01_L050_FLANKER_T014,P01_L050,flanker,14,185,16,data/raw/source_trials/p01_l050_flanker_t014.tsv.gz
P01_L050_FLANKER_T015,P01_L050,flanker,15,189,16,data/raw/source_trials/p01_l050_flanker_t015.tsv.gz
P01_L050_FLANKER_T016,P01_L050,flanker,16,179,16,data/raw/source_trials/p01_l050_flanker_t016.tsv.gz
P01_L050_FLANKER_T017,P01_L050,flanker,17,204,16,data/raw/source_trials/p01_l050_flanker_t017.tsv.gz
P01_L050_FLANKER_T018,P01_L050,flanker,18,157,16,data/raw/source_trials/p01_l050_flanker_t018.tsv.gz
P01_L050_FLANKER_T019,P01_L050,flanker,19,123,16,data/raw/source_trials/p01_l050_flanker_t019.tsv.gz
P01_L050_FLANKER_T020,P01_L050,flanker,20,390,16,data/raw/source_trials/p01_l050_flanker_t020.tsv.gz
P01_L050_FLANKER_T021,P01_L050,flanker,21,186,16,data/raw/source_trials/p01_l050_flanker_t021.tsv.gz
P01_L050_FLANKER_T022,P01_L050,flanker,22,182,16,data/raw/source_trials/p01_l050_flanker_t022.tsv.gz
P01_L050_FLANKER_T023,P01_L050,flanker,23,211,16,data/raw/source_trials/p01_l050_flanker_t023.tsv.gz
P01_L050_FLANKER_T024,P01_L050,flanker,24,229,16,data/raw/source_trials/p01_l050_flanker_t024.tsv.gz
P01_L050_FLANKER_T025,P01_L050,flanker,25,345,16,data/raw/source_trials/p01_l050_flanker_t025.tsv.gz
P01_L050_FLANKER_T026,P01_L050,flanker,26,379,16,data/raw/source_trials/p01_l050_flanker_t026.tsv.gz
P01_L200_BASE_T000,P01_L200,base,0,126,16,data/raw/source_trials/p01_l200_base_t000.tsv.gz
P01_L200_BASE_T001,P01_L200,base,1,148,16,data/raw/source_trials/p01_l200_base_t001.tsv.gz
P01_L200_BASE_T002,P01_L200,base,2,265,16,data/raw/source_trials/p01_l200_base_t002.tsv.gz
P01_L200_BASE_T003,P01_L200,base,3,248,16,data/raw/source_trials/p01_l200_base_t003.tsv.gz
P01_L200_BASE_T004,P01_L200,base,4,142,16,data/raw/source_trials/p01_l200_base_t004.tsv.gz
P01_L200_BASE_T005,P01_L200,base,5,128,16,data/raw/source_trials/p01_l200_base_t005.tsv.gz
P01_L200_BASE_T006,P01_L200,base,6,174,16,data/raw/source_trials/p01_l200_base_t006.tsv.gz
P01_L200_BASE_T007,P01_L200,base,7,168,16,data/raw/source_trials/p01_l200_base_t007.tsv.gz
P01_L200_BASE_T008,P01_L200,base,8,165,16,data/raw/source_trials/p01_l200_base_t008.tsv.gz
P01_L200_BASE_T009,P01_L200,base,9,163,16,data/raw/source_trials/p01_l200_base_t009.tsv.gz
P01_L200_BASE_T010,P01_L200,base,10,165,16,data/raw/source_trials/p01_l200_base_t010.tsv.gz
P01_L200_BASE_T011,P01_L200,base,11,167,16,data/raw/source_trials/p01_l200_base_t011.tsv.gz
P01_L200_BASE_T012,P01_L200,base,12,122,16,data/raw/source_trials/p01_l200_base_t012.tsv.gz
P01_L200_BASE_T013,P01_L200,base,13,124,16,data/raw/source_trials/p01_l200_base_t013.tsv.gz
P01_L200_BASE_T014,P01_L200,base,14,146,16,data/raw/source_trials/p01_l200_base_t014.tsv.gz
P01_L200_BASE_T015,P01_L200,base,15,242,16,data/raw/source_trials/p01_l200_base_t015.tsv.gz
P01_L200_BASE_T016,P01_L200,base,16,274,16,data/raw/source_trials/p01_l200_base_t016.tsv.gz
P01_L200_BASE_T017,P01_L200,base,17,241,16,data/raw/source_trials/p01_l200_base_t017.tsv.gz
P01_L200_BASE_T018,P01_L200,base,18,263,16,data/raw/source_trials/p01_l200_base_t018.tsv.gz
P01_L200_BASE_T019,P01_L200,base,19,139,16,data/raw/source_trials/p01_l200_base_t019.tsv.gz
P01_L200_BASE_T020,P01_L200,base,20,142,16,data/raw/source_trials/p01_l200_base_t020.tsv.gz
P01_L200_BASE_T021,P01_L200,base,21,275,16,data/raw/source_trials/p01_l200_base_t021.tsv.gz
P01_L200_FLANKER_T000,P01_L200,flanker,0,277,16,data/raw/source_trials/p01_l200_flanker_t000.tsv.gz
P01_L200_FLANKER_T001,P01_L200,flanker,1,240,16,data/raw/source_trials/p01_l200_flanker_t001.tsv.gz
P01_L200_FLANKER_T002,P01_L200,flanker,2,284,16,data/raw/source_trials/p01_l200_flanker_t002.tsv.gz
P01_L200_FLANKER_T003,P01_L200,flanker,3,189,16,data/raw/source_trials/p01_l200_flanker_t003.tsv.gz
P01_L200_FLANKER_T004,P01_L200,flanker,4,147,16,data/raw/source_trials/p01_l200_flanker_t004.tsv.gz
P01_L200_FLANKER_T005,P01_L200,flanker,5,93,16,data/raw/source_trials/p01_l200_flanker_t005.tsv.gz
P01_L200_FLANKER_T006,P01_L200,flanker,6,71,16,data/raw/source_trials/p01_l200_flanker_t006.tsv.gz
P01_L200_FLANKER_T007,P01_L200,flanker,7,162,16,data/raw/source_trials/p01_l200_flanker_t007.tsv.gz
P01_L200_FLANKER_T008,P01_L200,flanker,8,181,16,data/raw/source_trials/p01_l200_flanker_t008.tsv.gz
P01_L200_FLANKER_T009,P01_L200,flanker,9,174,16,data/raw/source_trials/p01_l200_flanker_t009.tsv.gz
P01_L200_FLANKER_T010,P01_L200,flanker,10,183,16,data/raw/source_trials/p01_l200_flanker_t010.tsv.gz
P01_L200_FLANKER_T011,P01_L200,flanker,11,106,16,data/raw/source_trials/p01_l200_flanker_t011.tsv.gz
P01_L200_FLANKER_T012,P01_L200,flanker,12,123,16,data/raw/source_trials/p01_l200_flanker_t012.tsv.gz
P01_L200_FLANKER_T013,P01_L200,flanker,13,119,16,data/raw/source_trials/p01_l200_flanker_t013.tsv.gz
P01_L200_FLANKER_T014,P01_L200,flanker,14,97,16,data/raw/source_trials/p01_l200_flanker_t014.tsv.gz
P01_L200_FLANKER_T015,P01_L200,flanker,15,293,16,data/raw/source_trials/p01_l200_flanker_t015.tsv.gz
P01_L200_FLANKER_T016,P01_L200,flanker,16,252,16,data/raw/source_trials/p01_l200_flanker_t016.tsv.gz
P01_L200_FLANKER_T017,P01_L200,flanker,17,243,16,data/raw/source_trials/p01_l200_flanker_t017.tsv.gz
P01_L200_FLANKER_T018,P01_L200,flanker,18,282,16,data/raw/source_trials/p01_l200_flanker_t018.tsv.gz
P01_L200_FLANKER_T019,P01_L200,flanker,19,181,16,data/raw/source_trials/p01_l200_flanker_t019.tsv.gz
P01_L200_FLANKER_T020,P01_L200,flanker,20,166,16,data/raw/source_trials/p01_l200_flanker_t020.tsv.gz
P01_L200_FLANKER_T021,P01_L200,flanker,21,504,16,data/raw/source_trials/p01_l200_flanker_t021.tsv.gz
P02_L010_BASE_T000,P02_L010,base,0,182,16,data/raw/source_trials/p02_l010_base_t000.tsv.gz
P02_L010_BASE_T001,P02_L010,base,1,172,16,data/raw/source_trials/p02_l010_base_t001.tsv.gz
P02_L010_BASE_T002,P02_L010,base,2,201,16,data/raw/source_trials/p02_l010_base_t002.tsv.gz
P02_L010_BASE_T003,P02_L010,base,3,193,16,data/raw/source_trials/p02_l010_base_t003.tsv.gz
P02_L010_BASE_T004,P02_L010,base,4,172,16,data/raw/source_trials/p02_l010_base_t004.tsv.gz
P02_L010_BASE_T005,P02_L010,base,5,174,16,data/raw/source_trials/p02_l010_base_t005.tsv.gz
P02_L010_BASE_T006,P02_L010,base,6,194,16,data/raw/source_trials/p02_l010_base_t006.tsv.gz
P02_L010_BASE_T007,P02_L010,base,7,196,16,data/raw/source_trials/p02_l010_base_t007.tsv.gz
P02_L010_BASE_T008,P02_L010,base,8,167,16,data/raw/source_trials/p02_l010_base_t008.tsv.gz
P02_L010_BASE_T009,P02_L010,base,9,198,16,data/raw/source_trials/p02_l010_base_t009.tsv.gz
P02_L010_BASE_T010,P02_L010,base,10,195,16,data/raw/source_trials/p02_l010_base_t010.tsv.gz
P02_L010_BASE_T011,P02_L010,base,11,158,16,data/raw/source_trials/p02_l010_base_t011.tsv.gz
P02_L010_FLANKER_T000,P02_L010,flanker,0,224,16,data/raw/source_trials/p02_l010_flanker_t000.tsv.gz
P02_L010_FLANKER_T001,P02_L010,flanker,1,192,16,data/raw/source_trials/p02_l010_flanker_t001.tsv.gz
P02_L010_FLANKER_T002,P02_L010,flanker,2,186,16,data/raw/source_trials/p02_l010_flanker_t002.tsv.gz
P02_L010_FLANKER_T003,P02_L010,flanker,3,180,16,data/raw/source_trials/p02_l010_flanker_t003.tsv.gz
P02_L010_FLANKER_T004,P02_L010,flanker,4,186,16,data/raw/source_trials/p02_l010_flanker_t004.tsv.gz
P02_L010_FLANKER_T005,P02_L010,flanker,5,218,16,data/raw/source_trials/p02_l010_flanker_t005.tsv.gz
P02_L010_FLANKER_T006,P02_L010,flanker,6,160,16,data/raw/source_trials/p02_l010_flanker_t006.tsv.gz
P02_L010_FLANKER_T007,P02_L010,flanker,7,172,16,data/raw/source_trials/p02_l010_flanker_t007.tsv.gz
P02_L010_FLANKER_T008,P02_L010,flanker,8,178,16,data/raw/source_trials/p02_l010_flanker_t008.tsv.gz
P02_L010_FLANKER_T009,P02_L010,flanker,9,194,16,data/raw/source_trials/p02_l010_flanker_t009.tsv.gz
P02_L010_FLANKER_T010,P02_L010,flanker,10,149,16,data/raw/source_trials/p02_l010_flanker_t010.tsv.gz
P02_L010_FLANKER_T011,P02_L010,flanker,11,177,16,data/raw/source_trials/p02_l010_flanker_t011.tsv.gz
P02_L026_BASE_T000,P02_L026,base,0,179,16,data/raw/source_trials/p02_l026_base_t000.tsv.gz
P02_L026_BASE_T001,P02_L026,base,1,175,16,data/raw/source_trials/p02_l026_base_t001.tsv.gz
P02_L026_BASE_T002,P02_L026,base,2,178,16,data/raw/source_trials/p02_l026_base_t002.tsv.gz
P02_L026_BASE_T003,P02_L026,base,3,169,16,data/raw/source_trials/p02_l026_base_t003.tsv.gz
P02_L026_BASE_T004,P02_L026,base,4,180,16,data/raw/source_trials/p02_l026_base_t004.tsv.gz
P02_L026_BASE_T005,P02_L026,base,5,172,16,data/raw/source_trials/p02_l026_base_t005.tsv.gz
P02_L026_BASE_T006,P02_L026,base,6,166,16,data/raw/source_trials/p02_l026_base_t006.tsv.gz
P02_L026_BASE_T007,P02_L026,base,7,185,16,data/raw/source_trials/p02_l026_base_t007.tsv.gz
P02_L026_BASE_T008,P02_L026,base,8,187,16,data/raw/source_trials/p02_l026_base_t008.tsv.gz
P02_L026_BASE_T009,P02_L026,base,9,168,16,data/raw/source_trials/p02_l026_base_t009.tsv.gz
P02_L026_BASE_T010,P02_L026,base,10,201,16,data/raw/source_trials/p02_l026_base_t010.tsv.gz
P02_L026_BASE_T011,P02_L026,base,11,182,16,data/raw/source_trials/p02_l026_base_t011.tsv.gz
P02_L026_BASE_T012,P02_L026,base,12,187,16,data/raw/source_trials/p02_l026_base_t012.tsv.gz
P02_L026_BASE_T013,P02_L026,base,13,222,16,data/raw/source_trials/p02_l026_base_t013.tsv.gz
P02_L026_BASE_T014,P02_L026,base,14,176,16,data/raw/source_trials/p02_l026_base_t014.tsv.gz
P02_L026_BASE_T015,P02_L026,base,15,193,16,data/raw/source_trials/p02_l026_base_t015.tsv.gz
P02_L026_FLANKER_T000,P02_L026,flanker,0,159,16,data/raw/source_trials/p02_l026_flanker_t000.tsv.gz
P02_L026_FLANKER_T001,P02_L026,flanker,1,200,16,data/raw/source_trials/p02_l026_flanker_t001.tsv.gz
P02_L026_FLANKER_T002,P02_L026,flanker,2,186,16,data/raw/source_trials/p02_l026_flanker_t002.tsv.gz
P02_L026_FLANKER_T003,P02_L026,flanker,3,201,16,data/raw/source_trials/p02_l026_flanker_t003.tsv.gz
P02_L026_FLANKER_T004,P02_L026,flanker,4,174,16,data/raw/source_trials/p02_l026_flanker_t004.tsv.gz
P02_L026_FLANKER_T005,P02_L026,flanker,5,187,16,data/raw/source_trials/p02_l026_flanker_t005.tsv.gz
P02_L026_FLANKER_T006,P02_L026,flanker,6,201,16,data/raw/source_trials/p02_l026_flanker_t006.tsv.gz
P02_L026_FLANKER_T007,P02_L026,flanker,7,181,16,data/raw/source_trials/p02_l026_flanker_t007.tsv.gz
P02_L026_FLANKER_T008,P02_L026,flanker,8,168,16,data/raw/source_trials/p02_l026_flanker_t008.tsv.gz
P02_L026_FLANKER_T009,P02_L026,flanker,9,178,16,data/raw/source_trials/p02_l026_flanker_t009.tsv.gz
P02_L026_FLANKER_T010,P02_L026,flanker,10,202,16,data/raw/source_trials/p02_l026_flanker_t010.tsv.gz
