condition_id,exclusion_candidate,probe_position_deg,distance_from_flanker_edge_deg,base_threshold,flanker_threshold,base_sensitivity,flanker_sensitivity,log_sensitivity_ratio,spread,base_staircases,flanker_staircases
P01_L025,storage_script_active_exclusions,-0.2292,0.27080000000000004,0.029279943301239814,0.04118258763291706,34.153071599618045,24.28210701361331,-0.34111278409496476,0.15315752891721982,3,4
P01_L025,storage_script_active_exclusions,-0.2005,0.2995,0.020153178620900686,0.042467680600409556,49.619964116375606,23.547318475178418,-0.7453813062884196,0.11826182745108081,4,4
P01_L025,storage_script_active_exclusions,-0.1662,0.3338,0.02060848432369793,0.021347001676938704,48.523704329390625,46.84498624836415,-0.03520844175711775,0.31565505807209243,4,4
P01_L025,storage_script_active_exclusions,-0.1031,0.39690000000000003,0.03745059530757725,0.04282610010536136,26.701845238697004,23.35024663790974,-0.13412512637126897,0.40392261390242906,4,4
P01_L025,storage_script_active_exclusions,-0.0401,0.4599,0.03976762043112904,0.05465505250734656,25.14608591509354,18.29657010878515,-0.3179886382841262,0.10489614007395978,4,4
P01_L025,storage_script_active_exclusions,0.0172,0.5172,0.039640298375192624,0.0224818779042349,25.22685350486191,44.48027003169653,0.5671366783556385,0.27697820417740593,4,4
P01_L025,storage_script_active_exclusions,0.0802,0.5802,0.04632771568333044,0.04305386982457268,21.585350912516894,23.226715834711268,0.07328827463807065,0.28148779650803074,4,3
P01_L025,storage_script_active_exclusions,0.1432,0.6432,0.024231860586236664,0.05215444020841956,41.26798255714566,19.17382289990651,-0.7665410004241794,0.3583140059452812,3,4
P01_L025,storage_script_active_exclusions,0.2063,0.7063,0.021725182811275452,0.027424718413651877,46.02953211887341,36.463455519098616,-0.2329726526983912,0.4009901482978314,4,4
P01_L050,storage_script_active_exclusions,-0.4813,0.018699999999999994,0.06673683622727833,0.06575317658351915,14.984228449104323,15.208390711432902,0.014849084805505874,0.28473984718510625,4,4
P01_L050,storage_script_active_exclusions,-0.4584,0.041600000000000026,0.041141588077042615,0.037091481480311196,24.3063052920412,26.960368259510407,0.10363215170131473,0.2657816452299318,4,3
P01_L050,storage_script_active_exclusions,-0.4354,0.06459999999999999,0.07882824182675173,0.08594608191324264,12.685808751104641,11.63520171878736,-0.08644881366720847,0.20001120324439983,4,4
P01_L050,storage_script_active_exclusions,-0.4125,0.08750000000000002,0.04386995644855171,0.0412266529709908,22.79464309869433,24.256152948037077,0.06214475847224628,0.3348918789219862,4,4
P01_L050,storage_script_active_exclusions,-0.3896,0.1104,0.07159405937730824,0.07007550666032522,13.967639336245687,14.270321367025833,0.021438773651111277,0.43487060468419325,4,4
P01_L050,storage_script_active_exclusions,-0.3667,0.13329999999999997,0.03449303555876487,0.036256526492584915,28.991359670166645,27.581241137496093,-0.04986197047260573,0.2598519667773508,4,4
P01_L050,storage_script_active_exclusions,-0.3438,0.1562,0.06006081380539112,0.060300474684417474,16.649791047457285,16.583617380020637,-0.0039823634121820325,0.33763541812337156,4,4
P01_L050,storage_script_active_exclusions,-0.3209,0.17909999999999998,0.03180011478419166,0.03181209432296224,31.44642737255514,31.43458553365949,-0.0003766427571164918,0.4320306803695143,4,4
P01_L050,storage_script_active_exclusions,-0.2979,0.2021,0.04677888384347534,0.06053311417227782,21.377166743568612,16.51988359881817,-0.25775865581396595,0.3280978531533318,4,4
P01_L050,storage_script_active_exclusions,-0.275,0.22499999999999998,0.0323192648690157,0.03373693480870836,30.941297831272593,29.641104198413267,-0.04292973758563501,0.29050200710860935,4,4
P01_L050,storage_script_active_exclusions,-0.2521,0.2479,0.05974115837839638,0.06367130359086846,16.7388786415233,15.705662419379408,-0.06371276506528785,0.23267899709656195,4,4
P01_L050,storage_script_active_exclusions,-0.2292,0.27080000000000004,0.029334309107844896,0.03987732274403244,34.08977509317133,25.076909160097713,-0.3070500197455542,0.25301579441314537,4,4
P01_L050,storage_script_active_exclusions,-0.2063,0.29369999999999996,0.07393179105209935,0.07245235153369123,13.525980985572298,13.802174516516386,0.020213800027301047,0.13102269606207098,4,4
P01_L050,storage_script_active_exclusions,-0.1833,0.3167,0.030483339118809395,0.0354411888601273,32.80480514626304,28.215757771180144,-0.15069439492869025,0.2012337973623185,4,4
P01_L050,storage_script_active_exclusions,-0.1604,0.3396,0.060432659703254864,0.06481324263548413,16.547343851989037,15.428945680500751,-0.06998026177165233,0.36466726443804015,4,4
P01_L050,storage_script_active_exclusions,-0.1375,0.3625,0.033468049486901866,0.03233719788818779,29.879243497335043,30.9241389268698,0.0343730320574996,0.1473657869332296,4,4
P01_L050,storage_script_active_exclusions,-0.1146,0.3854,0.06724641898380183,0.05737216497061757,14.870680329325458,17.43005515849258,0.15880451286959224,0.2837070137921178,3,4
P01_L050,storage_script_active_exclusions,-0.0917,0.4083,0.0362790038858666,0.03650834310747476,27.564152619680257,27.390999286277086,-0.006301644173515261,0.14353306194435378,4,4
P01_L050,storage_script_active_exclusions,-0.0688,0.4312,0.06242900028422278,0.0798217418888408,16.018196598492104,12.52791503087709,-0.24576600653607925,0.19692922271418234,4,4
P01_L050,storage_script_active_exclusions,-0.0458,0.4542,0.03168774309176262,0.03546046998810158,31.557943306475327,28.200415852794404,-0.11248860173691451,0.08288117717649827,4,5
P01_L050,storage_script_active_exclusions,-0.0229,0.4771,0.05367391319768072,0.06418136518906442,18.63102465283285,15.58084651291253,-0.17878581098017696,0.29073158912156843,3,4
P01_L050,storage_script_active_exclusions,-0.0,0.5,0.03506532532327497,0.03182275390675216,28.518201122641223,31.424055973603835,0.09703119409222165,0.24714449070582625,4,4
P01_L050,storage_script_active_exclusions,0.0229,0.5229,0.06932781062986659,0.0671128521067356,14.424225875801673,14.900275708885241,0.03247057123381589,0.24667570639382955,4,4
P01_L050,storage_script_active_exclusions,0.0458,0.5458,0.03793044299231414,0.03169758016735806,26.364047480347917,31.548149565997242,0.1795136922844452,0.31989938619614877,4,4
P01_L050,storage_script_active_exclusions,0.0688,0.5688,0.06366074554268841,0.059839295436967914,15.7082671821592,16.71142670878129,0.06190557362420299,0.16135310635072445,4,4
P01_L050,storage_script_active_exclusions,0.1146,0.6146,0.027261101723743297,0.03083397270671511,36.68230323681457,32.43175991338337,-0.12315625121979702,0.2657370481949666,4,4
P01_L050,storage_script_active_exclusions,0.1604,0.6604,0.03087587280854687,0.035769440776950476,32.38774839502468,27.956825107659817,-0.14711885564083566,0.30368584219123357,4,4
P01_L050,storage_script_active_exclusions,0.2063,0.7063,0.040744953372049565,0.03868314834749734,24.542916784535706,25.851049946008246,0.05192792640124583,0.24786246412069654,4,4
P01_L200,recorded_exclusion_list,-0.4469,0.05309999999999998,0.2094805373794933,0.25373145444124007,4.773713169297479,3.9411747439913216,-0.19164560702909583,0.3833499211710305,4,4
P01_L200,recorded_exclusion_list,-0.4125,0.08750000000000002,0.109935640250925,0.10600004914922925,9.096231192336973,9.433957889889065,0.036455548149383184,0.35492616826214574,4,4
P01_L200,recorded_exclusion_list,-0.3781,0.12190000000000001,0.0968092052109089,0.11823554104570257,10.32959621785342,8.457693779347291,-0.19993666052567396,0.3973666214190455,4,4
P01_L200,recorded_exclusion_list,-0.3438,0.1562,0.20594819475835274,0.26280593414505854,4.855590024342481,3.8050891173866694,-0.24379121140899704,0.22137151105608543,4,6
P01_L200,recorded_exclusion_list,-0.3094,0.1906,0.22439287518816783,0.17935916514035205,4.456469480866698,5.575405077390277,0.22400811799216,0.6243081907307618,4,4
P01_L200,recorded_exclusion_list,-0.275,0.22499999999999998,0.0818327360713877,0.06929703865283622,12.220048455029522,14.430631083815753,0.16627518702268232,0.39615203466415166,4,3
P01_L200,recorded_exclusion_list,-0.2406,0.25939999999999996,0.19817837936457788,0.21364060800112825,5.045959116258363,4.680758070088992,-0.07512767037769906,0.32610905908357707,4,4
P01_L200,recorded_exclusion_list,-0.2063,0.29369999999999996,0.19244714094532422,0.19080234844626875,5.196232041109449,5.241025638013082,0.008583456171557936,0.19311413057085366,4,6
P01_L200,recorded_exclusion_list,-0.1719,0.3281,0.10716904752525858,0.1180770574079642,9.331052417577109,8.469045739723446,-0.09692996904347802,0.17443675069424833,4,4
P01_L200,recorded_exclusion_list,-0.1375,0.3625,0.10851951407698429,0.0980130296070047,9.214932526242192,10.202725127563376,0.1018295850466198,0.182483065713562,4,4
P01_L200,recorded_exclusion_list,-0.1031,0.39690000000000003,0.15687955115406801,0.1776374690059493,6.374317064547958,5.62944296378434,-0.12426646163285414,0.13770471381828978,4,4
P01_L200,recorded_exclusion_list,-0.0688,0.4312,0.2529326044484444,0.20582628918021917,3.953622357942514,4.858465864505828,0.20609051101911527,0.23418123331803165,4,6
P01_L200,recorded_exclusion_list,-0.0344,0.4656,0.07590262020458696,0.11908542422854103,13.174775749567178,8.397333313276567,-0.4503898806347065,0.3272078566223417,4,4
P01_L200,recorded_exclusion_list,0.0,0.5,0.17001419453047267,0.18889825691040257,5.881861821959601,5.293855096155364,-0.1053266160836542,0.33729168817309635,4,2
P01_L200,recorded_exclusion_list,0.0344,0.5344,0.1837420138614672,0.1585097896510488,5.44241340880237,6.308758608546821,0.14771631940011196,0.19368024414315968,4,3
P01_L200,recorded_exclusion_list,0.0688,0.5688,0.11479185837127397,0.08609031069629279,8.711419208544187,11.615709037545173,0.28772369162555056,0.24216277041869766,4,5
P01_L200,recorded_exclusion_list,0.1031,0.6031,0.10401039234060472,0.08981544274697534,9.614423881079901,11.133942776602039,0.14673389174859883,0.24258153637624466,4,4
P01_L200,recorded_exclusion_list,0.1375,0.6375,0.17771163091141853,0.18097522088794438,5.627093707211861,5.525618342077762,-0.01819793519154023,0.26668238275759226,4,4
P01_L200,recorded_exclusion_list,0.1719,0.6718999999999999,0.16177548496295865,0.13593617076816672,6.181406288035345,7.356393771790563,0.1740240357228738,0.21453262352876534,3,4
P01_L200,recorded_exclusion_list,0.2063,0.7063,0.14670522564573069,0.09254153020988819,6.816389774791238,10.80595920266238,0.46076778682028213,0.29030575481190424,4,4
P01_L200,recorded_exclusion_list,0.2406,0.7406,0.14065475229854077,0.1912263923611804,7.109606918061982,5.229403680383417,-0.3071497039718784,0.5179179647570773,4,4
P01_L200,recorded_exclusion_list,0.275,0.775,0.14167473967977784,0.19895663736499475,7.058421298392804,5.0262208551778835,-0.339553033684213,0.17621743683873548,3,4
P01_L200,recorded_exclusion_list,0.3438,0.8438,0.13610080444755515,0.1440693430305445,7.347495145668579,6.9411019649613275,-0.05689891214240539,0.18285604408774364,4,4
P02_L010,no_exclusions,-0.4011,0.09889999999999999,0.03179915015304206,0.04188648970122377,31.4473813038156,23.874046431987917,-0.2755237687525017,0.33624244442686246,4,4
P02_L010,no_exclusions,-0.3209,0.17909999999999998,0.03067475306066393,0.024020103225269526,32.60009943755211,41.63179444407984,0.24454882626819338,0.22462947422519686,4,4
