condition_id,variant,candidate_mode,peak_locator,interval_low_cpd,spline_peak_cpd,interval_high_cpd,cluster_count,cluster_fraction_of_accepted,percentile_low,percentile_high,quantile_low_cpd,median_cpd,quantile_high_cpd,kde_mass,retained_for_display,representative_input_index_row_linked,representative_input_index_source_code,representative_selection_agrees,representative_saved_fms,included_in_thesis_main_isf,dominant_retained_mode
P03_L200,thesis_percentiles,2,source_histogram_spline,5.6679766314701805,6.911733259065517,12.579709890535698,803,0.47997609085475196,0.5,99.5,5.725113,6.9467,8.411824,0.46028181572427274,True,20887,202,False,0.9503,False,True
P03_L200,current_driver_percentiles,1,source_histogram_spline,3.4469826536213635,4.65520337757112,5.6679766314701805,859,0.5134488942020323,2.5,97.5,4.497245,4.6537,4.93657,0.2596759605088489,True,46290,1534,False,0.9204,False,False
P03_L200,current_driver_percentiles,2,source_histogram_spline,5.6679766314701805,6.911733259065517,12.579709890535698,803,0.47997609085475196,2.5,97.5,5.8276200000000005,6.9467,8.155435,0.43848285826674593,True,20887,202,False,0.9503,False,True
P04_L010,thesis_percentiles,1,source_histogram_spline,1.8387944848073876,2.988041037812005,3.8190346992153437,8536,0.6567164179104478,0.5,99.5,2.637305,3.02255,3.7617325,0.6536165816998398,True,4227,1824,False,0.9859,True,True
P04_L010,thesis_percentiles,2,source_histogram_spline,3.8190346992153437,3.942799712615841,5.374937724821595,3739,0.28765963994460686,0.5,99.5,3.837759,4.0722,4.981629,0.2607866533513809,True,1691,2156,False,0.9663,True,False
P04_L010,current_driver_percentiles,1,source_histogram_spline,1.8387944848073876,2.988041037812005,3.8190346992153437,8536,0.6567164179104478,2.5,97.5,2.8070749999999998,3.02255,3.2845125,0.556512461375653,True,4227,1824,False,0.9859,True,True
P04_L010,current_driver_percentiles,2,source_histogram_spline,3.8190346992153437,3.942799712615841,5.374937724821595,3739,0.28765963994460686,2.5,97.5,3.875645,4.0722,4.709165,0.23569075266987344,True,1691,2156,False,0.9663,True,False
P04_L049,thesis_percentiles,1,source_histogram_spline,1.9731913978494626,3.8219473021408508,5.119631734960768,32944,0.9739829706717124,0.5,99.5,2.4682445,3.7669,4.341127999999998,0.9610798429657011,True,1060,483,False,0.9954,True,True
P04_L049,thesis_percentiles,2,source_histogram_spline,5.119631734960768,7.110599631889955,12.816855836481643,811,0.023977057710501418,0.5,99.5,5.197805000000001,7.1344,8.959275,0.023695825447663094,False,36608,33310,False,0.9747,True,False
P04_L049,current_driver_percentiles,1,source_histogram_spline,1.9731913978494626,3.8219473021408508,5.119631734960768,32944,0.9739829706717124,2.5,97.5,2.7469575,3.7669,4.1777275,0.9196687568159061,True,1060,483,False,0.9954,True,True
P04_L049,current_driver_percentiles,2,source_histogram_spline,5.119631734960768,7.110599631889955,12.816855836481643,811,0.023977057710501418,2.5,97.5,5.434625,7.1344,8.5199,0.022677932205367693,False,36608,33310,False,0.9747,True,False
P04_L100,thesis_percentiles,1,source_histogram_spline,0.8247632664922988,2.895445510026155,4.299297878523685,330,0.013024944742658667,0.5,99.5,1.5773995,3.6668,4.2929465,0.01292448315305457,False,17370,8036,False,0.9346,True,False
P04_L100,thesis_percentiles,2,source_histogram_spline,4.299297878523685,5.545216855565243,7.615899099099099,24882,0.9820808335964635,0.5,99.5,4.7462265,5.552,6.976676000000001,0.9711299829593019,True,8633,6770,False,0.9818,True,True
P04_L100,current_driver_percentiles,1,source_histogram_spline,0.8247632664922988,2.895445510026155,4.299297878523685,330,0.013024944742658667,2.5,97.5,2.0156525,3.6668,4.233944999999999,0.012117905867126025,False,17370,8036,False,0.9346,True,False
P04_L100,current_driver_percentiles,2,source_histogram_spline,4.299297878523685,5.545216855565243,7.615899099099099,24882,0.9820808335964635,2.5,97.5,5.273505,5.552,6.7365924999999995,0.9247049144888855,True,8633,6770,False,0.9818,True,True
P04_L200,thesis_percentiles,1,source_histogram_spline,1.0839900319674514,2.701089915722174,3.8739315896541706,20605,0.82340952685422,0.5,99.5,2.423218,2.7028,3.7992980000000003,0.7666968396969076,True,48451,20323,False,0.9713,True,True
P04_L200,thesis_percentiles,2,source_histogram_spline,3.8739315896541706,5.828667712874165,7.481308253414706,4289,0.17139546035805628,0.5,99.5,3.883688,5.6806,7.166196000000001,0.16634166103597495,True,14284,24248,False,0.9495,True,False
P04_L200,current_driver_percentiles,1,source_histogram_spline,1.0839900319674514,2.701089915722174,3.8739315896541706,20605,0.82340952685422,2.5,97.5,2.5153399999999997,2.7028,2.9153599999999993,0.5789764005371983,True,48451,20323,False,0.9713,True,True
P04_L200,current_driver_percentiles,2,source_histogram_spline,3.8739315896541706,5.828667712874165,7.481308253414706,4289,0.17139546035805628,2.5,97.5,3.92376,5.6806,6.750080000000001,0.16026060760543107,True,14284,24248,False,0.9495,True,False
