condition_id,participant_id,experiment,staircase_id,probe_position_deg,distance_from_flanker_edge_deg,detected_reversals,threshold_last_five,included_for_baseline_candidate
P03_L010,P03,base,P03_L010_BASE_T002_A02,0.1948,0.6948,10,0.037043474574495416,True
P03_L010,P03,base,P03_L010_BASE_T002_A03,-0.2807,0.2193,10,0.045253462847699266,True
P03_L010,P03,base,P03_L010_BASE_T002_A04,0.4354,0.9354,10,0.040408771082781715,True
P03_L010,P03,base,P03_L010_BASE_T003_A01,0.1948,0.6948,11,0.027297553876201048,True
P03_L010,P03,base,P03_L010_BASE_T003_A02,-0.0401,0.4599,10,0.03968184288767213,True
P03_L010,P03,base,P03_L010_BASE_T003_A03,0.4354,0.9354,10,0.04040878175998518,True
P03_L010,P03,base,P03_L010_BASE_T003_A04,-0.2807,0.2193,10,0.022527414167511004,True
P03_L010,P03,base,P03_L010_BASE_T004_A01,-0.2807,0.2193,10,0.04407981682379334,True
P03_L010,P03,base,P03_L010_BASE_T004_A02,0.4354,0.9354,10,0.05202831899107683,True
P03_L010,P03,base,P03_L010_BASE_T004_A03,-0.0401,0.4599,10,0.045253462847699266,True
P03_L010,P03,base,P03_L010_BASE_T004_A04,0.1948,0.6948,11,0.023550909118526513,True
P03_L010,P03,base,P03_L010_BASE_T005_A01,-0.0401,0.4599,10,0.05885337949077298,True
P03_L010,P03,base,P03_L010_BASE_T005_A02,0.4354,0.9354,10,0.04608249426299101,True
P03_L010,P03,base,P03_L010_BASE_T005_A03,0.1948,0.6948,10,0.045253462847699266,True
P03_L010,P03,base,P03_L010_BASE_T005_A04,-0.2807,0.2193,10,0.05160740048771393,True
P03_L010,P03,base,P03_L010_BASE_T006_A01,0.0172,0.5172,10,0.015218090238422754,True
P03_L010,P03,base,P03_L010_BASE_T006_A02,0.4985,0.9984999999999999,10,0.019753862113211906,True
P03_L010,P03,base,P03_L010_BASE_T006_A03,-0.2235,0.27649999999999997,10,0.019753862113211906,True
P03_L010,P03,base,P03_L010_BASE_T006_A04,0.2578,0.7578,11,0.014972819352634285,True
P03_L010,P03,base,P03_L010_BASE_T007_A01,-0.2235,0.27649999999999997,10,0.02589999677521126,True
P03_L010,P03,base,P03_L010_BASE_T007_A02,0.0172,0.5172,11,0.00813071578933677,True
P03_L010,P03,base,P03_L010_BASE_T007_A03,0.4985,0.9984999999999999,10,0.017354800924219645,True
P03_L010,P03,base,P03_L010_BASE_T007_A04,0.2578,0.7578,10,0.022527451518823485,True
P03_L010,P03,base,P03_L010_BASE_T008_A01,0.4985,0.9984999999999999,10,0.01859086945473481,True
P03_L010,P03,base,P03_L010_BASE_T008_A02,-0.2235,0.27649999999999997,10,0.019753862113211906,True
P03_L010,P03,base,P03_L010_BASE_T008_A03,0.0172,0.5172,10,0.017042611550770654,True
P03_L010,P03,base,P03_L010_BASE_T008_A04,0.2578,0.7578,10,0.019753862113211906,True
P03_L010,P03,base,P03_L010_BASE_T009_A01,0.0172,0.5172,10,0.020115746617136814,True
P03_L010,P03,base,P03_L010_BASE_T009_A02,0.4985,0.9984999999999999,10,0.005159352482547995,True
P03_L010,P03,base,P03_L010_BASE_T009_A03,0.2578,0.7578,10,0.010923438468546456,True
P03_L010,P03,base,P03_L010_BASE_T009_A04,-0.2235,0.27649999999999997,10,0.020115746617136814,True
P03_L010,P03,base,P03_L010_BASE_T010_A01,-0.4011,0.09889999999999999,10,0.03885535444226134,True
P03_L010,P03,base,P03_L010_BASE_T010_A02,-0.1604,0.3396,10,0.017099306409766778,True
P03_L010,P03,base,P03_L010_BASE_T010_A03,0.0802,0.5802,10,0.018652749227224832,True
P03_L010,P03,base,P03_L010_BASE_T010_A04,0.3151,0.8150999999999999,10,0.03174552522738112,True
P03_L010,P03,base,P03_L010_BASE_T011_A01,0.0802,0.5802,11,0.01914934776262796,True
P03_L010,P03,base,P03_L010_BASE_T011_A02,-0.1604,0.3396,11,0.014138203450035991,True
P03_L010,P03,base,P03_L010_BASE_T011_A03,-0.4011,0.09889999999999999,10,0.055018151040273376,True
P03_L010,P03,base,P03_L010_BASE_T011_A04,0.3151,0.8150999999999999,10,0.015803085294322946,True
P03_L010,P03,base,P03_L010_BASE_T012_A01,0.3151,0.8150999999999999,10,0.022711196440692527,True
P03_L010,P03,base,P03_L010_BASE_T012_A02,-0.4011,0.09889999999999999,11,0.021201186905698045,True
