condition_id,experiment,staircase_id,source_id,source_staircase_id,probe_position_deg,trials_recorded,trials_used,distinct_signed_positions,detected_reversals,final_five_geometric_threshold
P01_L200,base,P01_L200_BASE_T015_A06,P01_L200_BASE_T015,6.0,0.2063,49,49,1,10,0.18677893565769924
P01_L200,base,P01_L200_BASE_T016_A01,P01_L200_BASE_T016,1.0,0.0688,42,42,1,10,0.10515208169723332
P01_L200,base,P01_L200_BASE_T016_A02,P01_L200_BASE_T016,4.0,-0.0688,56,56,1,10,0.23926428059858826
P01_L200,base,P01_L200_BASE_T016_A03,P01_L200_BASE_T016,2.0,-0.3438,47,47,1,10,0.19946095310003112
P01_L200,base,P01_L200_BASE_T016_A04,P01_L200_BASE_T016,5.0,0.3438,45,45,1,10,0.12613566747548177
P01_L200,base,P01_L200_BASE_T016_A05,P01_L200_BASE_T016,3.0,-0.2063,34,34,1,10,0.21099296747015642
P01_L200,base,P01_L200_BASE_T016_A06,P01_L200_BASE_T016,6.0,0.2063,50,50,1,10,0.13267769941640864
P01_L200,base,P01_L200_BASE_T017_A01,P01_L200_BASE_T017,1.0,0.3438,41,41,1,10,0.10821013389181995
P01_L200,base,P01_L200_BASE_T017_A02,P01_L200_BASE_T017,6.0,-0.3438,39,39,1,10,0.1785738493229834
P01_L200,base,P01_L200_BASE_T017_A03,P01_L200_BASE_T017,2.0,0.2063,40,40,1,10,0.1082101411938203
P01_L200,base,P01_L200_BASE_T017_A04,P01_L200_BASE_T017,5.0,-0.2063,41,41,1,11,0.1964662328767572
P01_L200,base,P01_L200_BASE_T017_A05,P01_L200_BASE_T017,3.0,-0.0688,34,34,1,11,0.22043881867405096
P01_L200,base,P01_L200_BASE_T017_A06,P01_L200_BASE_T017,4.0,0.0688,46,46,1,11,0.08706786559342042
P01_L200,base,P01_L200_BASE_T018_A01,P01_L200_BASE_T018,1.0,-0.2063,47,47,1,11,0.1949206911278361
P01_L200,base,P01_L200_BASE_T018_A02,P01_L200_BASE_T018,6.0,0.2063,50,50,1,10,0.15915412631499457
P01_L200,base,P01_L200_BASE_T018_A03,P01_L200_BASE_T018,2.0,0.3438,41,41,1,10,0.1426487441163718
P01_L200,base,P01_L200_BASE_T018_A04,P01_L200_BASE_T018,3.0,-0.3438,33,33,1,11,0.22043881867405096
P01_L200,base,P01_L200_BASE_T018_A05,P01_L200_BASE_T018,4.0,-0.0688,44,44,1,10,0.34103435105098184
P01_L200,base,P01_L200_BASE_T018_A06,P01_L200_BASE_T018,5.0,0.0688,48,48,1,10,0.14802938574499996
P01_L200,base,P01_L200_BASE_T019_A01,P01_L200_BASE_T019,1.0,-0.4125,45,45,1,10,0.1267061989031166
P01_L200,base,P01_L200_BASE_T019_A02,P01_L200_BASE_T019,2.0,0.1375,52,52,1,11,0.1222949274119153
P01_L200,base,P01_L200_BASE_T019_A03,P01_L200_BASE_T019,3.0,-0.1375,42,42,1,10,0.09611646444413773
P01_L200,base,P01_L200_BASE_T020_A01,P01_L200_BASE_T020,1.0,0.275,40,40,1,10,0.11784961489256676
P01_L200,base,P01_L200_BASE_T020_A02,P01_L200_BASE_T020,3.0,-0.275,51,51,1,10,0.11784949220993682
P01_L200,base,P01_L200_BASE_T020_A03,P01_L200_BASE_T020,2.0,0.0,51,51,1,10,0.1745091040759534
P01_L200,base,P01_L200_BASE_T021_A01,P01_L200_BASE_T021,1.0,-0.275,51,51,1,11,0.057008300161869925
P01_L200,base,P01_L200_BASE_T021_A02,P01_L200_BASE_T021,4.0,0.275,42,42,1,10,0.1707293500575259
P01_L200,base,P01_L200_BASE_T021_A03,P01_L200_BASE_T021,2.0,0.1375,43,43,1,10,0.21075508241295368
P01_L200,base,P01_L200_BASE_T021_A04,P01_L200_BASE_T021,5.0,-0.1375,37,37,1,10,0.1056276964803414
P01_L200,base,P01_L200_BASE_T021_A05,P01_L200_BASE_T021,3.0,0.0,56,56,1,11,0.1721623337476738
P01_L200,base,P01_L200_BASE_T021_A06,P01_L200_BASE_T021,6.0,-0.4125,46,46,1,10,0.11784967228530162
P01_L200,flanker,P01_L200_FLANKER_T000_A01,P01_L200_FLANKER_T000,1.0,0.0,35,35,1,10,0.18889825691040257
P01_L200,flanker,P01_L200_FLANKER_T000_A02,P01_L200_FLANKER_T000,2.0,-0.1375,50,50,1,10,0.11203879137566977
P01_L200,flanker,P01_L200_FLANKER_T000_A03,P01_L200_FLANKER_T000,6.0,0.1375,36,36,1,10,0.18889825691040257
P01_L200,flanker,P01_L200_FLANKER_T000_A04,P01_L200_FLANKER_T000,3.0,-0.4125,48,48,1,10,0.06589888336436632
P01_L200,flanker,P01_L200_FLANKER_T000_A05,P01_L200_FLANKER_T000,4.0,-0.275,58,58,1,10,0.05577355918750871
P01_L200,flanker,P01_L200_FLANKER_T000_A06,P01_L200_FLANKER_T000,5.0,0.275,50,50,1,10,0.2093331764020492
P01_L200,flanker,P01_L200_FLANKER_T001_A01,P01_L200_FLANKER_T001,1.0,-0.4125,40,40,1,10,0.09611646444413773
P01_L200,flanker,P01_L200_FLANKER_T001_A02,P01_L200_FLANKER_T001,2.0,0.1375,36,36,1,10,0.21075508241295368
P01_L200,flanker,P01_L200_FLANKER_T001_A03,P01_L200_FLANKER_T001,5.0,-0.1375,36,36,1,10,0.10562781916297229
P01_L200,flanker,P01_L200_FLANKER_T001_A04,P01_L200_FLANKER_T001,3.0,0.0,34,34,1,10,0.18889825691040257
P01_L200,flanker,P01_L200_FLANKER_T001_A05,P01_L200_FLANKER_T001,4.0,0.275,36,36,1,10,0.21075508241295368
P01_L200,flanker,P01_L200_FLANKER_T001_A06,P01_L200_FLANKER_T001,6.0,-0.275,58,58,1,11,0.05700836739057739
P01_L200,flanker,P01_L200_FLANKER_T002_A01,P01_L200_FLANKER_T002,1.0,0.1031,44,44,1,11,0.10961189885725983
P01_L200,flanker,P01_L200_FLANKER_T002_A02,P01_L200_FLANKER_T002,2.0,-0.0344,45,45,1,10,0.11784967228530162
P01_L200,flanker,P01_L200_FLANKER_T002_A03,P01_L200_FLANKER_T002,3.0,-0.4469,45,45,1,10,0.2351408366429558
P01_L200,flanker,P01_L200_FLANKER_T002_A04,P01_L200_FLANKER_T002,4.0,-0.1719,39,39,1,10,0.1056276964803414
P01_L200,flanker,P01_L200_FLANKER_T002_A05,P01_L200_FLANKER_T002,5.0,-0.3094,63,63,1,11,0.1364451541692181
P01_L200,flanker,P01_L200_FLANKER_T002_A06,P01_L200_FLANKER_T002,6.0,0.2406,48,48,1,10,0.2759548762555661
P01_L200,flanker,P01_L200_FLANKER_T003_A01,P01_L200_FLANKER_T003,1.0,-0.1375,47,47,1,10,0.09793189575195052
P01_L200,flanker,P01_L200_FLANKER_T003_A02,P01_L200_FLANKER_T003,0.0,0.0,46,46,1,9,0.07606073450202731
P01_L200,flanker,P01_L200_FLANKER_T003_A03,P01_L200_FLANKER_T003,2.0,0.275,55,55,1,11,0.17600141872445602
P01_L200,flanker,P01_L200_FLANKER_T003_A04,P01_L200_FLANKER_T003,3.0,-0.4125,41,41,1,10,0.1284022096670339
P01_L200,flanker,P01_L200_FLANKER_T004_A01,P01_L200_FLANKER_T004,1.0,-0.1375,38,38,1,10,0.07645361213742617
P01_L200,flanker,P01_L200_FLANKER_T004_A02,P01_L200_FLANKER_T004,0.0,0.0,29,29,1,9,0.10738064565823965
P01_L200,flanker,P01_L200_FLANKER_T004_A03,P01_L200_FLANKER_T004,2.0,-0.4125,35,35,1,10,0.13358263912137905
P01_L200,flanker,P01_L200_FLANKER_T004_A04,P01_L200_FLANKER_T004,3.0,0.275,45,45,1,10,0.19973687192052017
P01_L200,flanker,P01_L200_FLANKER_T005_A01,P01_L200_FLANKER_T005,1.0,-0.275,46,46,1,10,0.09510918938042255
P01_L200,flanker,P01_L200_FLANKER_T005_A02,P01_L200_FLANKER_T005,2.0,0.1375,47,47,1,11,0.184595909368654
P01_L200,flanker,P01_L200_FLANKER_T006_A01,P01_L200_FLANKER_T006,1.0,0.1375,36,36,1,11,0.13965163485976725
P01_L200,flanker,P01_L200_FLANKER_T006_A02,P01_L200_FLANKER_T006,2.0,-0.275,35,35,1,10,0.1335827029383386
P01_L200,flanker,P01_L200_FLANKER_T007_A01,P01_L200_FLANKER_T007,1.0,-0.0344,43,43,1,10,0.11928175390147955
P01_L200,flanker,P01_L200_FLANKER_T007_A02,P01_L200_FLANKER_T007,2.0,0.1031,39,39,1,10,0.07195256047607643
P01_L200,flanker,P01_L200_FLANKER_T007_A03,P01_L200_FLANKER_T007,3.0,-0.3094,34,34,1,10,0.2732586622485559
P01_L200,flanker,P01_L200_FLANKER_T007_A04,P01_L200_FLANKER_T007,4.0,-0.1719,46,46,1,10,0.11524822174483476
P01_L200,flanker,P01_L200_FLANKER_T008_A01,P01_L200_FLANKER_T008,1.0,-0.3094,49,49,1,10,0.19812076719182964
