condition_id,candidate_mode,selection,assumed_input_index,point_index,probe_position_deg,distance_from_flanker_edge_deg,log_sensitivity_ratio,spread_recorded,errorbar_halfwidth_source_convention
P01_L050,1,row_linked_max_fms,30673,8,-0.2979,0.2021,-0.23079715904121365,0.23906149121022122,0.11953074560511061
P01_L050,1,row_linked_max_fms,30673,9,-0.275,0.22499999999999998,0.06870166284901305,0.27900657026634246,0.13950328513317123
P01_L050,1,row_linked_max_fms,30673,10,-0.2521,0.2479,-0.0822443429191669,0.17252151702648863,0.08626075851324431
P01_L050,1,row_linked_max_fms,30673,11,-0.2292,0.27080000000000004,-0.185746856128613,0.18152627563900736,0.09076313781950368
P01_L050,1,row_linked_max_fms,30673,12,-0.2063,0.29369999999999996,0.05054289425051798,0.2205184001202313,0.11025920006011565
P01_L050,1,row_linked_max_fms,30673,13,-0.1833,0.3167,-0.31666779626806274,0.17595563196542977,0.08797781598271488
P01_L050,1,row_linked_max_fms,30673,14,-0.1604,0.3396,-0.08769448324557508,0.2627373423957126,0.1313686711978563
P01_L050,1,row_linked_max_fms,30673,15,-0.1375,0.3625,0.23411490255558484,0.3464429779260113,0.17322148896300565
P01_L050,1,row_linked_max_fms,30673,16,-0.1146,0.3854,0.19130748146608442,0.3183852040114914,0.1591926020057457
P01_L050,1,row_linked_max_fms,30673,17,-0.0917,0.4083,-0.06788843858675564,0.19578827731408535,0.09789413865704268
P01_L050,1,row_linked_max_fms,30673,18,-0.0688,0.4312,-0.2896107376910979,0.20302864988062372,0.10151432494031186
P01_L050,1,row_linked_max_fms,30673,19,-0.0458,0.4542,-0.14693115691393152,0.17004584371111756,0.08502292185555878
P01_L050,1,row_linked_max_fms,30673,20,-0.0229,0.4771,-0.10915226794345508,0.18208708403337365,0.09104354201668682
P01_L050,1,row_linked_max_fms,30673,21,-0.0,0.5,0.1610719291477203,0.23846435544719588,0.11923217772359794
P01_L050,1,row_linked_max_fms,30673,22,0.0229,0.5229,0.08087967280483344,0.15021852920446635,0.07510926460223318
